714
273	1	0
100	2	1
48	49	3
84	15	1
188	12	3
60	181	3
344	137	5
59	60	3
117	8	1
311	60	5
263	238	3
348	1	0
128	175	6
127	91	1
396	9	3
191	1	0
139	9	2
217	18	3
4	91	1
267	1	0
360	9	3
264	265	6
170	199	2
107	108	2
37	38	2
7	6	1
91	8	1
83	127	1
190	43	2
25	26	3
164	1	0
75	3	1
4	24	1
249	187	1
12	56	1
7	117	1
121	34	1
67	81	3
222	330	3
246	271	3
221	93	5
127	90	1
296	1	0
187	13	3
233	1	0
293	26	5
38	13	1
159	38	2
282	253	3
48	77	1
220	93	2
63	90	1
341	1	0
127	8	1
63	117	1
328	1	0
250	380	3
137	9	1
359	305	6
48	76	1
19	33	5
113	20	1
259	322	6
374	56	3
26	28	3
403	2	1
63	91	1
234	1	0
29	30	1
83	117	1
46	311	6
301	1	0
100	20	1
9	74	1
71	33	5
210	33	5
78	298	4
81	15	1
3	74	1
4	7	1
361	44	3
23	24	1
297	1	0
208	137	2
204	86	2
33	12	1
111	1	0
33	56	1
86	304	4
12	137	1
46	60	2
113	100	1
92	93	2
4	83	1
117	50	1
204	78	5
56	74	1
51	52	2
371	27	3
127	95	1
4	95	1
185	77	1
27	78	3
186	187	1
210	261	6
84	91	1
67	89	1
63	50	1
63	6	1
243	86	5
109	127	1
44	203	3
227	106	1
250	32	3
83	90	1
45	374	1
310	1	0
59	77	4
105	12	3
8	24	1
306	1	0
14	74	3
21	11	2
75	13	1
259	166	5
83	96	1
261	33	2
57	33	5
284	18	3
107	93	5
112	49	5
137	34	1
247	1	0
136	52	5
4	14	1
180	1	0
160	56	2
160	38	5
130	1	0
14	23	1
27	28	4
34	74	1
249	13	3
6	15	1
137	93	1
126	1	0
248	33	5
221	39	6
65	26	1
95	50	1
41	81	3
175	113	5
20	56	1
75	9	1
60	356	3
143	78	3
289	1	0
83	74	3
117	15	1
46	47	5
63	23	1
38	56	1
288	235	6
50	91	1
33	286	3
33	58	3
92	119	5
127	84	1
37	214	6
4	84	1
303	1	0
167	181	3
257	65	5
80	67	1
242	1	0
2	74	1
91	96	1
60	406	3
49	131	1
96	74	3
110	1	0
80	41	1
91	24	1
78	12	4
326	34	5
12	13	1
75	74	1
4	63	1
14	15	1
95	23	1
336	1	0
186	249	1
80	30	1
121	74	1
179	391	5
25	372	4
